Latitude,Longitude,VSA_BPL,,,,,,
39.75117,-105.000087,158.2653394,,,,,,
39.751173,-105.000087,158.431302,,,,,,
39.751175,-105.000088,158.6584064,,,,,,
39.751177,-105.000088,160.0388703,,,,,,
39.751178,-105.00009,159.9561613,,,,,,
39.75118,-105.00009,162.4778871,,,,,,
39.751182,-105.00009,157.2527668,,,,,,
39.751183,-105.000092,158.6208411,,,,,,
39.751185,-105.000092,161.9905646,,,,,,
39.751187,-105.000093,161.2408554,,,,,,
39.751188,-105.000093,160.630532,,,,,,
39.75119,-105.000095,157.5458314,,,,,,
39.751192,-105.000095,155.741131,,,,,,
39.751193,-105.000097,156.1017962,,,,,,
39.751195,-105.000097,158.327959,,,,,,
39.751197,-105.000098,158.4635277,,,,,,
39.751198,-105.000098,159.2494695,,,,,,
39.7512,-105.0001,154.7858637,,,,,,
39.751202,-105.0001,156.8081197,,,,,,
39.751203,-105.000102,150.9890316,,,,,,
39.751205,-105.000103,151.1156985,,,,,,
39.751207,-105.000103,148.1575169,,,,,,
39.751212,-105.0001,149.9300847,,,,,,
39.751225,-105.000087,145.1746814,,,,,,
39.751247,-105.000058,145.268701,,,,,,
39.751278,-105.000018,145.5750495,,,,,,
39.751317,-104.999968,145.609022,,,,,,
39.751362,-104.999907,145.6892677,,,,,,
39.751413,-104.999835,147.3203488,,,,,,
39.75147,-104.999758,149.4262084,,,,,,
39.75153,-104.99968,149.2940631,,,,,,
39.75159,-104.999602,152.4735234,,,,,,
39.75165,-104.999523,156.2014528,,,,,,
39.751708,-104.999447,156.1101212,,,,,,
39.751767,-104.999375,155.5953199,,,,,,
39.751822,-104.999307,155.7336303,,,,,,
39.751873,-104.999245,154.778718,,,,,,
39.75192,-104.999188,156.6697246,,,,,,
39.751965,-104.999137,152.7039243,,,,,,
39.752005,-104.999088,154.1185116,,,,,,
39.752035,-104.99905,152.8088845,,,,,,
39.752067,-104.999017,150.9678776,,,,,,
39.752073,-104.99901,150.2060829,,,,,,
39.752078,-104.999005,153.5022726,,,,,,
39.752087,-104.998997,155.0601123,,,,,,
39.752102,-104.99898,153.9273718,,,,,,
39.752125,-104.998953,154.5060231,,,,,,
39.752155,-104.998915,151.2042484,,,,,,
39.752188,-104.99887,143.7558583,,,,,,
39.75227,-104.998763,149.0270991,,,,,,
39.752317,-104.998702,151.8866058,,,,,,
39.752363,-104.998635,153.3901983,,,,,,
39.752412,-104.998568,152.5094642,,,,,,
39.75246,-104.998502,154.5801816,,,,,,
